muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
419.45675;0.10161;419.45675;0.20741;419.45675;0.47864;419.45675;0.5834;419.45675;0.7391;419.45675;0.41064
419.91941;0.10269;419.91941;0.20837;419.91941;0.48444;419.91941;0.58069;419.91941;0.75487;419.91941;0.40714
420.38209;0.10519;420.38209;0.21344;420.38209;0.48977;420.38209;0.59342;420.38209;0.76604;420.38209;0.41842
420.8448;0.10726;420.8448;0.21573;420.8448;0.49115;420.8448;0.58477;420.8448;0.76675;420.8448;0.41559
421.30755;0.10834;421.30755;0.21416;421.30755;0.49708;421.30755;0.59718;421.30755;0.77406;421.30755;0.42207
421.77032;0.10542;421.77032;0.2147;421.77032;0.49742;421.77032;0.5946;421.77032;0.7749;421.77032;0.42102
422.23312;0.10616;422.23312;0.21606;422.23312;0.49879;422.23312;0.60656;422.23312;0.78978;422.23312;0.42383
422.69595;0.10774;422.69595;0.21834;422.69595;0.50839;422.69595;0.61208;422.69595;0.80028;422.69595;0.42977
423.15881;0.10956;423.15881;0.21947;423.15881;0.51108;423.15881;0.61808;423.15881;0.80626;423.15881;0.43206
423.6217;0.1069;423.6217;0.21885;423.6217;0.51125;423.6217;0.61861;423.6217;0.81323;423.6217;0.43283
424.08463;0.10857;424.08463;0.21912;424.08463;0.51804;424.08463;0.62663;424.08463;0.81658;424.08463;0.43847
424.54758;0.10925;424.54758;0.22098;424.54758;0.51972;424.54758;0.62727;424.54758;0.82411;424.54758;0.43898
425.01056;0.10989;425.01056;0.22273;425.01056;0.52131;425.01056;0.62788;425.01056;0.83132;425.01056;0.43947
425.47357;0.11058;425.47357;0.22241;425.47357;0.5224;425.47357;0.64038;425.47357;0.83182;425.47357;0.44125
425.93661;0.11119;425.93661;0.22454;425.93661;0.52312;425.93661;0.63103;425.93661;0.82997;425.93661;0.44029
426.39968;0.11183;426.39968;0.2249;426.39968;0.52084;426.39968;0.63106;426.39968;0.82659;426.39968;0.44528
426.86278;0.1118;426.86278;0.22459;426.86278;0.527;426.86278;0.63517;426.86278;0.83835;426.86278;0.44203
427.32591;0.1104;427.32591;0.2246;427.32591;0.52463;427.32591;0.63417;427.32591;0.82443;427.32591;0.43811
427.78907;0.1096;427.78907;0.22281;427.78907;0.52252;427.78907;0.63025;427.78907;0.81496;427.78907;0.4378
428.25227;0.1105;428.25227;0.22297;428.25227;0.52528;428.25227;0.63171;428.25227;0.82753;428.25227;0.44275
428.71549;0.11089;428.71549;0.22393;428.71549;0.52715;428.71549;0.62776;428.71549;0.8249;428.71549;0.43959
429.17874;0.11045;429.17874;0.2241;429.17874;0.52599;429.17874;0.63204;429.17874;0.83226;429.17874;0.44382
429.64202;0.10963;429.64202;0.22415;429.64202;0.52184;429.64202;0.62459;429.64202;0.81659;429.64202;0.43841
430.10534;0.11019;430.10534;0.22227;430.10534;0.52385;430.10534;0.62846;430.10534;0.81632;430.10534;0.44078
430.56868;0.10991;430.56868;0.22351;430.56868;0.52252;430.56868;0.6243;430.56868;0.81478;430.56868;0.4408
431.03205;0.1118;431.03205;0.22478;431.03205;0.52446;431.03205;0.62837;431.03205;0.81899;431.03205;0.44093
431.49546;0.11166;431.49546;0.22408;431.49546;0.52456;431.49546;0.63457;431.49546;0.83505;431.49546;0.44341
431.95889;0.11139;431.95889;0.22102;431.95889;0.52141;431.95889;0.63047;431.95889;0.82228;431.95889;0.44022
432.42235;0.11049;432.42235;0.22263;432.42235;0.52559;432.42235;0.63244;432.42235;0.8158;432.42235;0.44461
432.88585;0.11183;432.88585;0.2262;432.88585;0.53097;432.88585;0.64025;432.88585;0.83563;432.88585;0.4472
433.34937;0.11184;433.34937;0.22613;433.34937;0.53087;433.34937;0.64313;433.34937;0.83744;433.34937;0.44884
433.81293;0.11335;433.81293;0.22756;433.81293;0.53781;433.81293;0.65072;433.81293;0.85121;433.81293;0.44945
434.27652;0.11289;434.27652;0.22744;434.27652;0.53981;434.27652;0.65463;434.27652;0.86373;434.27652;0.45375
434.74013;0.11191;434.74013;0.22883;434.74013;0.53896;434.74013;0.64985;434.74013;0.85348;434.74013;0.45157
435.20378;0.11248;435.20378;0.22853;435.20378;0.54136;435.20378;0.65481;435.20378;0.86523;435.20378;0.45392
435.66746;0.11278;435.66746;0.22963;435.66746;0.5468;435.66746;0.66278;435.66746;0.87243;435.66746;0.45718
436.13117;0.11509;436.13117;0.22944;436.13117;0.54854;436.13117;0.66287;436.13117;0.8723;436.13117;0.45743
436.59491;0.1145;436.59491;0.23161;436.59491;0.54962;436.59491;0.66469;436.59491;0.88268;436.59491;0.46093
437.05868;0.1143;437.05868;0.23233;437.05868;0.54994;437.05868;0.66569;437.05868;0.88096;437.05868;0.45919
437.52248;0.11491;437.52248;0.23039;437.52248;0.55063;437.52248;0.67051;437.52248;0.88839;437.52248;0.45835
437.98632;0.11421;437.98632;0.23101;437.98632;0.54882;437.98632;0.66756;437.98632;0.88756;437.98632;0.45838
438.45018;0.1133;438.45018;0.23066;438.45018;0.54372;438.45018;0.661;438.45018;0.87879;438.45018;0.45481
438.91408;0.11315;438.91408;0.22982;438.91408;0.54887;438.91408;0.66254;438.91408;0.88081;438.91408;0.45896
